reactants,products
CN(CCO)c1ccc(N)cn1.O=C(Cl)Oc1ccccc1,CN(CCO)c1ccc(NC(=O)Oc2ccccc2)cn1
CCOC(=O)C[C@H]1O[C@H](c2cccc(OC)c2OC)c2cc(Cl)ccc2NC1=NN.COCC(=O)Cl,CCOC(=O)C[C@H]1O[C@H](c2cccc(OC)c2OC)c2cc(Cl)ccc2NC1=NNC(=O)COC
COCn1c(=O)c2c(c3ccc(CC#N)cc31)NCCC2.[N-]=[N+]=[N-],COCn1c(=O)c2c(c3ccc(Cc4nnn[nH]4)cc31)NCCC2
C=CCN.O=C(NC(Cc1ccccc1)C(O)C(=O)O)c1cccnc1-n1ccc(-c2ccccc2)n1,C=CCNC(=O)C(O)C(Cc1ccccc1)NC(=O)c1cccnc1-n1ccc(-c2ccccc2)n1
COc1cccc(N)c1.O=Cc1ccc(O)nc1,COc1cccc(N=Cc2ccc(O)nc2)c1
CC(C)(C)OC(=O)[C@@H]1CC(CN)(CC(=O)O)CN1C(=O)OC(C)(C)C,CC(C)(C)OC(=O)[C@@H]1CC2(CNC(=O)C2)CN1C(=O)OC(C)(C)C
NC(=O)c1cc(-c2ccccc2)cc2c(C3CCNCC3)n[nH]c12.O=C(Cl)c1ccccc1,NC(=O)c1cc(-c2ccccc2)cc2c(C3CCN(C(=O)c4ccccc4)CC3)n[nH]c12
CC(C)(C)c1ccc(C(=O)O)s1,CC(C)(C)c1ccc(CO)s1
CC(C)(C)OC(=O)CBr.Cc1cccc(Cl)c1S(=O)(=O)N1CCn2cccc2C1CO,Cc1cccc(Cl)c1S(=O)(=O)N1CCn2cccc2C1COCC(=O)OC(C)(C)C
CN(Cc1c[nH]c(-c2cccnc2C#N)c1)C(=O)OC(C)(C)C.COc1ccc(S(=O)(=O)Cl)cn1,COc1ccc(S(=O)(=O)n2cc(CN(C)C(=O)OC(C)(C)C)cc2-c2cccnc2C#N)cn1
CC(C)(C)OC(=O)N1CCC[C@H](N)C1.COc1ccc(C2CC(C(F)(F)F)n3nc(-c4ccnc(C(=O)O)c4)cc3N2)cc1OC,COc1ccc(C2CC(C(F)(F)F)n3nc(-c4ccnc(C(=O)N[C@H]5CCCN(C(=O)OC(C)(C)C)C5)c4)cc3N2)cc1OC
COC(=O)c1ccc(CCC(=O)O)cc1.NC1CCN(Cc2ccc(Cl)c(Cl)c2)CC1,COC(=O)c1ccc(CCC(=O)NC2CCN(Cc3ccc(Cl)c(Cl)c3)CC2)cc1
Cc1nc(-c2ccccn2)ncc1C(=O)O.Nn1ccc2cc(F)cnc21,Cc1nc(-c2ccccn2)ncc1C(=O)Nn1ccc2cc(F)cnc21
CC(C)(C)OC(=O)N[C@@H](Cc1cc(F)cc(F)c1)c1nc(C#CC(C)(C)O[Si](C)(C)C(C)(C)C)ccc1Br.Cn1nc(N)c2c(Cl)ccc(B3OC(C)(C)C(C)(C)O3)c21,Cn1nc(N)c2c(Cl)ccc(-c3ccc(C#CC(C)(C)O[Si](C)(C)C(C)(C)C)nc3[C@H](Cc3cc(F)cc(F)c3)NC(=O)OC(C)(C)C)c21
CCOC(=O)C(=O)Cl.Cc1cc(C)cc(C(=O)NN)c1,CCOC(=O)C(=O)NNC(=O)c1cc(C)cc(C)c1
CC1CN(Cc2ccccc2)CCC1=O.[NH4+],CC1CN(Cc2ccccc2)CCC1N
COC(=O)c1nc2c(C(F)(F)F)cc(-c3ccco3)cn2c1Cl,O=C(O)c1nc2c(C(F)(F)F)cc(-c3ccco3)cn2c1Cl
Cc1cnc(N2CCNCC2)c(C)c1.O=C(O)c1ccc(Br)cc1[N+](=O)[O-],Cc1cnc(N2CCN(C(=O)c3ccc(Br)cc3[N+](=O)[O-])CC2)c(C)c1
COc1cc2c(cc1C#N)C(c1ccccc1Cl)=NCC(=O)N2,N#Cc1cc2c(cc1O)NC(=O)CN=C2c1ccccc1Cl
COC(=O)c1sccc1NS(=O)(=O)c1ccc(C2CCCC2)cc1F,O=C(O)c1sccc1NS(=O)(=O)c1ccc(C2CCCC2)cc1F
CC(C)c1c(Cl)nc2cc(F)ccc2c1Cl.CCC[CH2][Sn]([CH2]CCC)([CH2]CCC)[c]1cc(C)ccn1,Cc1ccnc(-c2nc3cc(F)ccc3c(Cl)c2C(C)C)c1
Fc1cc(-n2cnnn2)ccc1OCc1ccccc1,Oc1ccc(-n2cnnn2)cc1F
COC(=O)[C@H](Cc1ccc(N)cc1)NC(=O)[C@@H]1CCCN1S(=O)(=O)c1ccc(C)cc1.S=C=NCCCc1ccccc1,COC(=O)[C@H](Cc1ccc(NC(=S)NCCCc2ccccc2)cc1)NC(=O)[C@@H]1CCCN1S(=O)(=O)c1ccc(C)cc1
CC(=O)Cl.N[C@@H](CCO)C(=O)O,CC(=O)OCC[C@H](N)C(=O)O
O=C(Nc1ccn(Cc2cc(I)ccc2C(F)(F)F)n1)c1c(F)cccc1F.[Zn+][CH]1CC1,O=C(Nc1ccn(Cc2cc(C3CC3)ccc2C(F)(F)F)n1)c1c(F)cccc1F
C=CCO[C@@H]1O[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@@H]1O[C@@H]1O[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1OC(C)=O,C=CCO[C@@H]1O[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@@H]1O[C@@H]1O[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1O
COc1ccc(C(=O)c2c(CO[N+](=O)[O-])n(C(C)=O)c(=O)n2C(C)=O)cc1,COc1ccc(C(=O)c2c(CO[N+](=O)[O-])[nH]c(=O)n2C(C)=O)cc1
CCOC(=O)CBr.Cc1cccc(C)c1O,CCOC(=O)COc1c(C)cccc1C
CCOC(=O)CN(c1ccncc1F)n1ccc2ccccc21,OCCN(c1ccncc1F)n1ccc2ccccc21
COCCCN(C)c1n[nH]c2ccc(C3OCCCO3)cc12,COCCCN(C)c1n[nH]c2ccc(C=O)cc12
CC(C)(C)OC(=O)NC1CNC1.Clc1ccc(I)cn1,CC(C)(C)OC(=O)NC1CN(c2ccc(Cl)nc2)C1
ClCCCCOc1ccccc1/C=C/c1nc2ccccc2o1.c1c[nH]cn1,C(=C/c1ccccc1OCCCCn1ccnc1)\c1nc2ccccc2o1
N#Cc1ccccc1F.OCC1CCCNC1,N#Cc1ccccc1N1CCCC(CO)C1
CC(=O)c1nccc(C(C)C)c1F.CNN,Cc1nn(C)c2c(C(C)C)ccnc12
O=C(O)C1CN(C(=O)OCc2ccccc2)CCN1C(=O)N(c1ccccc1)c1ccccc1,O=C(O)C1CNCCN1C(=O)N(c1ccccc1)c1ccccc1
CN1CCCNCC1.O=c1c2c[nH]c3cc(F)c(F)cc3c-2nn1-c1ccccc1,CN1CCCN(c2cc3[nH]cc4c(=O)n(-c5ccccc5)nc-4c3cc2F)CC1
CCSc1ccc(S(C)(=O)=O)cc1C(=O)O.FC(F)(F)c1ccc(N2CCNCC2)cc1,CCSc1ccc(S(C)(=O)=O)cc1C(=O)N1CCN(c2ccc(C(F)(F)F)cc2)CC1
O=C(CC1CCNCC1)Nc1ccc2cc1CCc1cncc(c1)Nc1ncc(Cl)c(n1)N2.O=C(Cl)c1cccnc1,O=C(CC1CCN(C(=O)c2cccnc2)CC1)Nc1ccc2cc1CCc1cncc(c1)Nc1ncc(Cl)c(n1)N2
CCCCCCCCCCCCCCCCN=C=O.CNCCO,CCCCCCCCCCCCCCCCNC(=O)N(C)CCO
CC(=O)Cc1ccc(OCCCO)cc1.NCC(O)c1cccc(C(F)(F)F)c1,CC(Cc1ccc(OCCCO)cc1)NCC(O)c1cccc(C(F)(F)F)c1
COc1ccc(N)cc1OC1CCCC1.O=[N+]([O-])c1cccnc1Cl,COc1ccc(Nc2ncccc2[N+](=O)[O-])cc1OC1CCCC1
ClCc1coc(-c2cccs2)n1.Oc1cccc(CCCn2ccnc2)c1,c1cc(CCCn2ccnc2)cc(OCc2coc(-c3cccs3)n2)c1
COc1ccc2nc(C)ccc2c1,Cc1ccc2cc(O)ccc2n1
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)C)cn2)nc(-c2ncccn2)nc1OCCN.O=S(=O)(Cl)c1cccs1,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)C)cn2)nc(-c2ncccn2)nc1OCCNS(=O)(=O)c1cccs1
OB(O)C1=CCCC1.OC1CCCC(Nc2ccc3ncc(-c4ccnc(Cl)c4)n3c2)C1,OC1CCCC(Nc2ccc3ncc(-c4ccnc(C5=CCCC5)c4)n3c2)C1
COC(=O)Cl.COC(=O)c1sc(-c2cccc(N)c2)c(Br)c1OCC(=O)OC(C)(C)C,COC(=O)Nc1cccc(-c2sc(C(=O)OC)c(OCC(=O)OC(C)(C)C)c2Br)c1
CCCCCCCCC(N)CC.CCc1ncnc(Cl)c1Cl,CCCCCCCCC(CC)Nc1ncnc(CC)c1Cl
CCCC(=O)c1ccc(-n2cc(C(F)(F)F)cn2)nc1,CCCC(O)c1ccc(-n2cc(C(F)(F)F)cn2)nc1
COc1ccc(NC(=O)c2ccc(Cl)nc2)cc1.Cc1ccc(C(=O)Nc2nccs2)cc1B1OC(C)(C)C(C)(C)O1,COc1ccc(NC(=O)c2ccc(-c3cc(C(=O)Nc4nccs4)ccc3C)nc2)cc1
CN.COC(=O)c1[nH]c2cccc3c2c1CCNC3=O,CNC(=O)c1[nH]c2cccc3c2c1CCNC3=O
N#C[S-].Nc1cccc(F)c1,NC(=S)Nc1cccc(F)c1
CC(C)(C)OC(=O)N1CCC2(CC1)CC(N)c1ccccc12.COC(=O)CS(=O)(=O)Cl,COC(=O)CS(=O)(=O)NC1CC2(CCN(C(=O)OC(C)(C)C)CC2)c2ccccc21
CC(C)[C@H]1COC(=O)N1c1ccnc(F)n1.Cc1cc(-c2cnc(C(C)N)nc2)ccc1F,Cc1cc(-c2cnc(C(C)Nc3nccc(N4C(=O)OC[C@@H]4C(C)C)n3)nc2)ccc1F
CCOC(=O)C1=C(CBr)NC(c2cnccn2)=NC1c1ccc(F)cc1Cl.O=C(O)C1COCCN1,CCOC(=O)C1=C(CN2CCOCC2C(=O)O)NC(c2cnccn2)=NC1c1ccc(F)cc1Cl
CC(C)N1CCN(Cc2c(-c3ccccc3)nc3ccccc3c2C(=O)O)CC1.NN1CCCCCC1,CC(C)N1CCN(Cc2c(-c3ccccc3)nc3ccccc3c2C(=O)NN2CCCCCC2)CC1
CCn1cc(C(=O)O)c(=O)n(-c2ccc(F)cc2)c1=O.COc1cc(OC)c2nccc(Oc3ccc(N)cc3)c2c1,CCn1cc(C(=O)Nc2ccc(Oc3ccnc4c(OC)cc(OC)cc34)cc2)c(=O)n(-c2ccc(F)cc2)c1=O
C=O.CC1CN(C(=O)OC(C)(C)C)CC(C)N1,CC1CN(C(=O)OC(C)(C)C)CC(C)N1C
CC(C)(C)OC(=O)NCCOc1ccc([N+](=O)[O-])cc1,CC(C)(C)OC(=O)NCCOc1ccc(N)cc1
COc1ccc(Nc2cc(-c3ccccc3)nc(N)n2)cc1Cl.O=C(OC(=O)C(F)(F)F)C(F)(F)F,COc1ccc(Nc2cc(-c3ccccc3)nc(NC(=O)C(F)(F)F)n2)cc1Cl
COc1cc(N2CCN(C(=O)Cn3nc(C(C)=O)c(Cl)c3C)CC2)ccc1Cl,COc1cc(N2CCN(C(=O)Cn3nc(C(C)O)c(Cl)c3C)CC2)ccc1Cl
Cc1ccc(S(=O)(=O)OC[C@@H]2NC(=O)[C@@H]2N=[N+]=[N-])cc1,Cc1ccc(S(=O)(=O)OC[C@@H]2NC(=O)[C@@H]2N)cc1
CCOC(=O)c1nc2ccccc2n(Cc2ccccc2)c1=O,O=C(O)c1nc2ccccc2n(Cc2ccccc2)c1=O
COc1ccc(C)c(C=O)c1,Cc1ccc(O)cc1C=O
O=C(Cl)c1cccc(F)c1.O=c1cc(CNc2cccc(Cl)c2)c2cccc(F)c2[nH]1,O=C(c1cccc(F)c1)N(Cc1cc(=O)[nH]c2c(F)cccc12)c1cccc(Cl)c1
COc1ccc(Cc2ncc[nH]2)cc1,Oc1ccc(Cc2ncc[nH]2)cc1
CC(O)C(F)(F)F.O=C(O)c1ccc(Cl)nc1,CC(Oc1ccc(C(=O)O)cn1)C(F)(F)F
COc1cc(N2CCN(CCS(C)(=O)=O)CC2)ccc1N.COc1ccc(-c2nc3ccccn3c2-c2ccnc(Cl)n2)cc1C(=O)Nc1c(F)cccc1F,COc1cc(N2CCN(CCS(C)(=O)=O)CC2)ccc1Nc1nccc(-c2c(-c3ccc(OC)c(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1
Nn1nc(-c2ccc(Cl)cc2)c2ccccc2c1=O.O=C(O)Cc1ccc(O)cc1,O=C(Cc1ccc(O)cc1)Nn1nc(-c2ccc(Cl)cc2)c2ccccc2c1=O
COc1ccc(-n2cc(C#N)cn2)cc1F,N#Cc1cnn(-c2ccc(O)c(F)c2)c1
CC(COc1ccc(C#N)cc1)NC(=O)[C@@H](N)C(C)C.COCC(C)OC(=O)Cl,COCC(C)OC(=O)N[C@H](C(=O)NC(C)COc1ccc(C#N)cc1)C(C)C
CCCc1cc([N+](=O)[O-])cnc1Cc1ccnn1-c1ncccc1Br,CCCc1cc(N)cnc1Cc1ccnn1-c1ncccc1Br
Cn1ccc(NC(=O)c2cc(O)cc(OC(CF)CF)c2)n1.O=C(c1ccc(Br)cn1)N1CCC1,Cn1ccc(NC(=O)c2cc(Oc3ccc(C(=O)N4CCC4)nc3)cc(OC(CF)CF)c2)n1
O=Cc1cc(Cl)ccc1C(F)(F)F.OB(O)c1ccc(Cl)cc1,O=Cc1cc(-c2ccc(Cl)cc2)ccc1C(F)(F)F
CSc1ccc(C=O)s1.O=C1Cc2ccccc2N1,CSc1ccc(C=C2C(=O)Nc3ccccc32)s1
C=CC(=O)OC(C)(C)C.Oc1ccc(C(=C2CCCCCC2)c2ccc(Br)c(F)c2)cc1,CC(C)(C)OC(=O)/C=C/c1ccc(C(=C2CCCCCC2)c2ccc(O)cc2)cc1F
CC1(C)C(=O)Nc2nc(-c3nn(CC4CCCC4)c4ncc(F)cc34)nc(I)c21,CC1(C)C(=O)Nc2nc(-c3nn(CC4CCCC4)c4ncc(F)cc34)ncc21
CC(=O)Cl.O=[N+]([O-])c1cccc2c1CCC2O,CC(=O)OC1CCc2c1cccc2[N+](=O)[O-]
CC(C)(COc1ccc(Cl)cc1)C1(C)CCC(CBr)O1.C[C@@H]1CNC[C@H](C)C1,C[C@@H]1C[C@H](C)CN(CC2CCC(C)(C(C)(C)COc3ccc(Cl)cc3)O2)C1
