reactants,products
COc1ccc(C[O:1][CH2:2][c:3]2[n:4][c:5]([CH:6]([CH3:7])[CH3:8])[c:9]([S:10][c:11]3[cH:12][c:13]([Cl:14])[cH:15][c:16]([Cl:17])[cH:18]3)[n:19]2[CH2:20][C:21]([CH3:22])=[O:23])cc1,[OH:1][CH2:2][c:3]1[n:4][c:5]([CH:6]([CH3:7])[CH3:8])[c:9]([S:10][c:11]2[cH:12][c:13]([Cl:14])[cH:15][c:16]([Cl:17])[cH:18]2)[n:19]1[CH2:20][C:21]([CH3:22])=[O:23]
Cl[c:1]1[c:2]2[cH:3][c:4]([S:5][C:6]([CH3:7])([CH3:8])[CH3:9])[cH:10][c:11]([CH3:12])[c:13]2[n:14][n:15][c:16]1[C:17]([NH2:18])=[O:19].[NH2:20][c:21]1[cH:22][n:23][cH:24][c:25]([F:26])[cH:27]1,[c:1]1([NH:20][c:21]2[cH:22][n:23][cH:24][c:25]([F:26])[cH:27]2)[c:2]2[cH:3][c:4]([S:5][C:6]([CH3:7])([CH3:8])[CH3:9])[cH:10][c:11]([CH3:12])[c:13]2[n:14][n:15][c:16]1[C:17]([NH2:18])=[O:19]
C[O:1][C:2](=[O:3])[C:4]([CH3:5])([CH3:6])[c:7]1[cH:8][cH:9][c:10]2[c:11]([cH:12]1)[NH:13][C:14](=[O:15])[c:16]1[cH:17][cH:18][c:19](-[c:20]3[cH:21][cH:22][cH:23][c:24]4[cH:25][n:26][cH:27][cH:28][c:29]34)[cH:30][c:31]1[NH:32]2,[OH:1][C:2](=[O:3])[C:4]([CH3:5])([CH3:6])[c:7]1[cH:8][cH:9][c:10]2[c:11]([cH:12]1)[NH:13][C:14](=[O:15])[c:16]1[cH:17][cH:18][c:19](-[c:20]3[cH:21][cH:22][cH:23][c:24]4[cH:25][n:26][cH:27][cH:28][c:29]34)[cH:30][c:31]1[NH:32]2
O[CH2:1][c:2]1[c:3]([CH3:4])[o:5][n:6][c:7]1-[c:8]1[cH:9][cH:10][c:11]([F:12])[cH:13][n:14]1.[CH3:15][O:16][C:17](=[O:18])[c:19]1[cH:20][c:21]([OH:22])[n:23][s:24]1,[CH2:1]([c:2]1[c:3]([CH3:4])[o:5][n:6][c:7]1-[c:8]1[cH:9][cH:10][c:11]([F:12])[cH:13][n:14]1)[O:22][c:21]1[cH:20][c:19]([C:17]([O:16][CH3:15])=[O:18])[s:24][n:23]1
C[O:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[c:7]1[nH:8][c:9]1[n:10][cH:11][c:12]([CH3:13])[cH:14][c:15]21,[OH:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[c:7]1[nH:8][c:9]1[n:10][cH:11][c:12]([CH3:13])[cH:14][c:15]21
CC(C)(C)O[OH:1].[OH:2][CH2:3][CH:4]=[CH:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1,[O:1]1[C@H:4]([CH2:3][OH:2])[C@H:5]1[c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1
Cl[C:1]([CH2:2][CH2:3][CH3:4])=[O:5].[O:6]=[C:7]([NH:8][c:9]1[cH:10][cH:11][c:12]([O:13][c:14]2[cH:15][cH:16][n:17][c:18]3[cH:19][c:20](-[c:21]4[cH:22][cH:23][c:24]([CH2:25][N:26]5[CH2:27][CH2:28][N:29]([C:30](=[O:31])[CH2:32][OH:33])[CH2:34][CH2:35]5)[cH:36][n:37]4)[s:38][c:39]23)[c:40]([F:41])[cH:42]1)[NH:43][CH:44]1[CH2:45][CH2:46]1,[C:1]([CH2:2][CH2:3][CH3:4])(=[O:5])[O:33][CH2:32][C:30]([N:29]1[CH2:28][CH2:27][N:26]([CH2:25][c:24]2[cH:23][cH:22][c:21](-[c:20]3[cH:19][c:18]4[n:17][cH:16][cH:15][c:14]([O:13][c:12]5[cH:11][cH:10][c:9]([NH:8][C:7](=[O:6])[NH:43][CH:44]6[CH2:45][CH2:46]6)[cH:42][c:40]5[F:41])[c:39]4[s:38]3)[n:37][cH:36]2)[CH2:35][CH2:34]1)=[O:31]
F[c:1]1[c:2]([C:3]#[N:4])[c:5]([O:6][CH:7]([F:8])[F:9])[cH:10][cH:11][cH:12]1.[CH3:13][CH2:14][CH2:15][SH:16],[c:1]1([S:16][CH2:15][CH2:14][CH3:13])[c:2]([C:3]#[N:4])[c:5]([O:6][CH:7]([F:8])[F:9])[cH:10][cH:11][cH:12]1
C1CCC([O:1][CH2:2][CH2:3][CH2:4][N:5]2[CH2:6][CH2:7][N:8]([CH2:9][c:10]3[c:11]([C:12]([NH:13][C@@H:14]([CH3:15])[CH:16]4[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21]4)=[O:22])[c:23]4[c:24]([n:25][c:26]3-[c:27]3[cH:28][cH:29][cH:30][cH:31][cH:32]3)[cH:33][cH:34][c:35]([F:36])[cH:37]4)[CH2:38][C:39]2=[O:40])OC1,[OH:1][CH2:2][CH2:3][CH2:4][N:5]1[CH2:6][CH2:7][N:8]([CH2:9][c:10]2[c:11]([C:12]([NH:13][C@@H:14]([CH3:15])[CH:16]3[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21]3)=[O:22])[c:23]3[c:24]([n:25][c:26]2-[c:27]2[cH:28][cH:29][cH:30][cH:31][cH:32]2)[cH:33][cH:34][c:35]([F:36])[cH:37]3)[CH2:38][C:39]1=[O:40]
O[C:1]([CH2:2][NH:3][C:4]([NH:5][c:6]1[cH:7][cH:8][cH:9][c:10]([CH3:11])[cH:12]1)=[O:13])=[O:14].[CH3:15][C:16](=[O:17])[CH:18]1[CH2:19][CH:20]([C:21](=[O:22])[O:23][C:24]([CH3:25])([CH3:26])[CH3:27])[NH:28][CH:29]1[c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1,[C:1]([CH2:2][NH:3][C:4]([NH:5][c:6]1[cH:7][cH:8][cH:9][c:10]([CH3:11])[cH:12]1)=[O:13])(=[O:14])[N:28]1[CH:20]([C:21](=[O:22])[O:23][C:24]([CH3:25])([CH3:26])[CH3:27])[CH2:19][CH:18]([C:16]([CH3:15])=[O:17])[CH:29]1[c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1
CC1(C)OB([c:1]2[cH:2][cH:3][c:4]3[c:5]([cH:6]2)[nH:7][c:8]2[c:9]([C:10]([NH2:11])=[O:12])[cH:13][n:14][c:15]([NH:16][CH:17]([CH:18]4[CH2:19][CH2:20]4)[CH:21]4[CH2:22][CH2:23]4)[c:24]32)OC1(C)C.Cl[c:25]1[cH:26][cH:27][cH:28][n:29][n:30]1,[c:1]1(-[c:25]2[cH:26][cH:27][cH:28][n:29][n:30]2)[cH:2][cH:3][c:4]2[c:5]([cH:6]1)[nH:7][c:8]1[c:9]([C:10]([NH2:11])=[O:12])[cH:13][n:14][c:15]([NH:16][CH:17]([CH:18]3[CH2:19][CH2:20]3)[CH:21]3[CH2:22][CH2:23]3)[c:24]21
[CH:1]1=[CH:2][O:3][CH2:4][CH2:5][CH2:6]1.[O:7]=[c:8]1[cH:9][cH:10][c:11]2[c:12]([C@@H:13]([OH:14])[CH2:15][Br:16])[cH:17][cH:18][c:19]([O:20][CH2:21][c:22]3[cH:23][cH:24][cH:25][cH:26][cH:27]3)[c:28]2[nH:29]1,[CH2:1]1[CH:2]([O:14][C@H:13]([c:12]2[c:11]3[cH:10][cH:9][c:8](=[O:7])[nH:29][c:28]3[c:19]([O:20][CH2:21][c:22]3[cH:23][cH:24][cH:25][cH:26][cH:27]3)[cH:18][cH:17]2)[CH2:15][Br:16])[O:3][CH2:4][CH2:5][CH2:6]1
O[C:1]([CH2:2][NH:3][C:4]([CH2:5][CH:6]([O:7][C:8]([CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][CH2:22][CH3:23])=[O:24])[CH2:25][CH2:26][CH2:27][CH2:28][CH2:29][CH2:30][CH2:31][CH2:32][CH2:33][CH2:34][CH2:35][CH2:36][CH2:37][CH2:38][CH3:39])=[O:40])=[O:41].[NH2:42][C@@H:43]([CH2:44][c:45]1[cH:46][cH:47][cH:48][cH:49][cH:50]1)[C:51](=[O:52])[OH:53],[C:1]([CH2:2][NH:3][C:4]([CH2:5][CH:6]([O:7][C:8]([CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][CH2:22][CH3:23])=[O:24])[CH2:25][CH2:26][CH2:27][CH2:28][CH2:29][CH2:30][CH2:31][CH2:32][CH2:33][CH2:34][CH2:35][CH2:36][CH2:37][CH2:38][CH3:39])=[O:40])(=[O:41])[NH:42][C@@H:43]([CH2:44][c:45]1[cH:46][cH:47][cH:48][cH:49][cH:50]1)[C:51](=[O:52])[OH:53]
CCO[C:1](=[O:2])/[C:3]([F:4])=[C:5](/[CH3:6])[c:7]1[cH:8][c:9]2[c:10]([c:11]([Br:12])[c:13]1[O:14][CH3:15])[C:16]([CH3:17])([CH3:18])[CH2:19][CH:20]=[C:21]2[CH:22]([CH3:23])[CH3:24],[CH2:1]([OH:2])/[C:3]([F:4])=[C:5](/[CH3:6])[c:7]1[cH:8][c:9]2[c:10]([c:11]([Br:12])[c:13]1[O:14][CH3:15])[C:16]([CH3:17])([CH3:18])[CH2:19][CH:20]=[C:21]2[CH:22]([CH3:23])[CH3:24]
O=[CH:1][c:2]1[cH:3][cH:4][c:5]([O:6][c:7]2[cH:8][cH:9][c:10]([C:11]([NH2:12])=[O:13])[cH:14][n:15]2)[cH:16][cH:17]1.[cH:18]1[cH:19][cH:20][c:21]([CH2:22][CH2:23][CH:24]2[CH2:25][CH2:26][CH2:27][NH:28][CH2:29]2)[cH:30][cH:31]1,[CH2:1]([c:2]1[cH:3][cH:4][c:5]([O:6][c:7]2[cH:8][cH:9][c:10]([C:11]([NH2:12])=[O:13])[cH:14][n:15]2)[cH:16][cH:17]1)[N:28]1[CH2:27][CH2:26][CH2:25][CH:24]([CH2:23][CH2:22][c:21]2[cH:20][cH:19][cH:18][cH:31][cH:30]2)[CH2:29]1
[CH3:1][CH2:2][NH:3][CH2:4][c:5]1[cH:6][c:7]([C:8]([F:9])([F:10])[F:11])[cH:12][cH:13][c:14]1[Br:15].[O:16]=[C:17]=[N:18][CH2:19][c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1,[CH3:1][CH2:2][N:3]([CH2:4][c:5]1[cH:6][c:7]([C:8]([F:9])([F:10])[F:11])[cH:12][cH:13][c:14]1[Br:15])[C:17](=[O:16])[NH:18][CH2:19][c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1
O[C:1]([c:2]1[cH:3][cH:4][c:5]([CH3:6])[s:7]1)=[O:8].[NH2:9][c:10]1[cH:11][n:12][c:13]2[cH:14][cH:15][cH:16][cH:17][c:18]2[c:19]1[NH2:20],[C:1]([c:2]1[cH:3][cH:4][c:5]([CH3:6])[s:7]1)(=[O:8])[NH:9][c:10]1[cH:11][n:12][c:13]2[cH:14][cH:15][cH:16][cH:17][c:18]2[c:19]1[NH2:20]
[O:1]=[C:2]1[CH2:3][C:4](=[O:5])[CH:6]2[CH:7]3[CH:8]=[CH:9][CH:10]([O:11]3)[CH:12]12,[O:1]=[C:2]1[CH2:3][C:4](=[O:5])[CH:6]2[CH:7]3[CH2:8][CH2:9][CH:10]([O:11]3)[CH:12]12
Cl[S:1]([c:2]1[cH:3][cH:4][c:5]([O:6][CH3:7])[cH:8][c:9]1[O:10][CH3:11])(=[O:12])=[O:13].[NH2:14][C:15]1([c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)[C:22](=[O:23])[NH:24][c:25]2[cH:26][cH:27][c:28]([Cl:29])[cH:30][c:31]21,[S:1]([c:2]1[cH:3][cH:4][c:5]([O:6][CH3:7])[cH:8][c:9]1[O:10][CH3:11])(=[O:12])(=[O:13])[N:24]1[C:22](=[O:23])[C:15]([NH2:14])([c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)[c:31]2[c:25]1[cH:26][cH:27][c:28]([Cl:29])[cH:30]2
O=[CH:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([C:7]([F:8])([F:9])[F:10])[c:11]([O:12][CH:13]3[CH2:14][CH2:15][CH:16]([C:17]([F:18])([F:19])[F:20])[CH2:21][CH2:22]3)[cH:23][cH:24][c:25]2[cH:26]1.[CH2:27]1[CH2:28][CH:29]([c:30]2[n:31][n:32][nH:33][n:34]2)[CH2:35][CH2:36][NH:37]1,[CH2:1]([c:2]1[cH:3][cH:4][c:5]2[c:6]([C:7]([F:8])([F:9])[F:10])[c:11]([O:12][C@H:13]3[CH2:14][CH2:15][C@@H:16]([C:17]([F:18])([F:19])[F:20])[CH2:21][CH2:22]3)[cH:23][cH:24][c:25]2[cH:26]1)[N:37]1[CH2:27][CH2:28][CH:29]([c:30]2[n:31][n:32][nH:33][n:34]2)[CH2:35][CH2:36]1
Br[c:1]1[cH:2][cH:3][cH:4][c:5]([CH2:6][O:7][CH2:8][O:9][CH3:10])[cH:11]1.[CH2:12]=[CH:13][C:14](=[O:15])[O:16][CH2:17][CH3:18],[c:1]1(/[CH:12]=[CH:13]/[C:14](=[O:15])[O:16][CH2:17][CH3:18])[cH:2][cH:3][cH:4][c:5]([CH2:6][O:7][CH2:8][O:9][CH3:10])[cH:11]1
Br[c:1]1[n:2][c:3]([C:4]([NH:5][CH3:6])=[O:7])[c:8](=[O:9])[n:10](-[c:11]2[cH:12][cH:13][cH:14][c:15]([C:16]([F:17])([F:18])[F:19])[cH:20]2)[c:21]1[CH3:22].OB(O)[c:23]1[n:24](-[c:25]2[cH:26][cH:27][c:28]([C:29]#[N:30])[cH:31][cH:32]2)[n:33][cH:34][cH:35]1,[c:1]1(-[c:23]2[n:24](-[c:25]3[cH:26][cH:27][c:28]([C:29]#[N:30])[cH:31][cH:32]3)[n:33][cH:34][cH:35]2)[n:2][c:3]([C:4]([NH:5][CH3:6])=[O:7])[c:8](=[O:9])[n:10](-[c:11]2[cH:12][cH:13][cH:14][c:15]([C:16]([F:17])([F:18])[F:19])[cH:20]2)[c:21]1[CH3:22]
O[C:1]([c:2]1[cH:3][c:4]2[c:5]([s:6]1)[N:7]([CH3:8])[CH2:9][NH:10][CH2:11]2)=[O:12].[CH3:13][O:14][c:15]1[cH:16][cH:17][c:18]([CH2:19][NH2:20])[cH:21][cH:22]1,[C:1]([c:2]1[cH:3][c:4]2[c:5]([s:6]1)[N:7]([CH3:8])[CH2:9][NH:10][CH2:11]2)(=[O:12])[NH:20][CH2:19][c:18]1[cH:17][cH:16][c:15]([O:14][CH3:13])[cH:22][cH:21]1
c1ccc(C[N:1]2[CH2:2][CH2:3][N:4]([c:5]3[cH:6][cH:7][c:8]([NH:9][C:10](=[O:11])[c:12]4[cH:13][cH:14][cH:15][cH:16][c:17]4-[c:18]4[cH:19][cH:20][c:21]([C:22]([F:23])([F:24])[F:25])[cH:26][cH:27]4)[cH:28][cH:29]3)[CH2:30][CH2:31]2)cc1,[NH:1]1[CH2:2][CH2:3][N:4]([c:5]2[cH:6][cH:7][c:8]([NH:9][C:10](=[O:11])[c:12]3[cH:13][cH:14][cH:15][cH:16][c:17]3-[c:18]3[cH:19][cH:20][c:21]([C:22]([F:23])([F:24])[F:25])[cH:26][cH:27]3)[cH:28][cH:29]2)[CH2:30][CH2:31]1
I[CH2:1][CH3:2].[CH3:3][c:4]1[c:5]([C:6]#[N:7])[c:8](=[O:9])[n:10](-[c:11]2[cH:12][cH:13][c:14]([OH:15])[cH:16][cH:17]2)[n:18][c:19]1[S:20][c:21]1[cH:22][cH:23][c:24]([Cl:25])[cH:26][cH:27]1,[CH2:1]([CH3:2])[O:15][c:14]1[cH:13][cH:12][c:11](-[n:10]2[c:8](=[O:9])[c:5]([C:6]#[N:7])[c:4]([CH3:3])[c:19]([S:20][c:21]3[cH:22][cH:23][c:24]([Cl:25])[cH:26][cH:27]3)[n:18]2)[cH:17][cH:16]1
F[c:1]1[cH:2][cH:3][c:4]([S:5]([CH:6]2[C:7](=[O:8])[N:9]([O:10][C:11]([c:12]3[cH:13][cH:14][cH:15][cH:16][cH:17]3)([c:18]3[cH:19][cH:20][cH:21][cH:22][cH:23]3)[c:24]3[cH:25][cH:26][cH:27][cH:28][cH:29]3)[CH2:30][CH2:31][CH2:32][CH2:33]2)(=[O:34])=[O:35])[cH:36][cH:37]1.[CH3:38][O:39][c:40]1[cH:41][cH:42][c:43]([OH:44])[cH:45][cH:46]1,[c:1]1([O:44][c:43]2[cH:42][cH:41][c:40]([O:39][CH3:38])[cH:46][cH:45]2)[cH:2][cH:3][c:4]([S:5]([CH:6]2[C:7](=[O:8])[N:9]([O:10][C:11]([c:12]3[cH:13][cH:14][cH:15][cH:16][cH:17]3)([c:18]3[cH:19][cH:20][cH:21][cH:22][cH:23]3)[c:24]3[cH:25][cH:26][cH:27][cH:28][cH:29]3)[CH2:30][CH2:31][CH2:32][CH2:33]2)(=[O:34])=[O:35])[cH:36][cH:37]1
I[CH:1]([CH3:2])[CH3:3].[CH3:4][O:5][c:6]1[cH:7][cH:8][c:9](-[c:10]2[n:11][nH:12][c:13]3[c:14]([C:15]([F:16])([F:17])[F:18])[cH:19][cH:20][cH:21][c:22]23)[cH:23][cH:24]1,[CH:1]([CH3:2])([CH3:3])[n:12]1[n:11][c:10](-[c:9]2[cH:8][cH:7][c:6]([O:5][CH3:4])[cH:24][cH:23]2)[c:22]2[c:13]1[c:14]([C:15]([F:16])([F:17])[F:18])[cH:19][cH:20][cH:21]2
Cl[S:1]([CH3:2])(=[O:3])=[O:4].[CH2:5]=[CH:6][C:7](=[O:8])[O:9][O:10][C:11]([CH3:12])([NH2:13])[CH2:14][CH3:15],[S:1]([CH3:2])(=[O:3])(=[O:4])[NH:13][C:11]([O:10][O:9][C:7]([CH:6]=[CH2:5])=[O:8])([CH3:12])[CH2:14][CH3:15]
C[O:1][c:2]1[cH:3][c:4]([CH2:5][C:6]([O:7][CH2:8][CH3:9])=[O:10])[c:11]2[c:12]([cH:13]1)[CH2:14][CH2:15][CH2:16][CH2:17]2,[OH:1][c:2]1[cH:3][c:4]([CH2:5][C:6]([O:7][CH2:8][CH3:9])=[O:10])[c:11]2[c:12]([cH:13]1)[CH2:14][CH2:15][CH2:16][CH2:17]2
C[O:1][c:2]1[cH:3][cH:4][c:5]([CH2:6][CH2:7][c:8]2[cH:9][c:10]3[c:11]([s:12]2)-[n:13]2[c:14]([CH3:15])[n:16][n:17][c:18]2[CH2:19][N:20]=[C:21]3[c:22]2[cH:23][cH:24][cH:25][cH:26][c:27]2[Cl:28])[cH:29][cH:30]1,[OH:1][c:2]1[cH:3][cH:4][c:5]([CH2:6][CH2:7][c:8]2[cH:9][c:10]3[c:11]([s:12]2)-[n:13]2[c:14]([CH3:15])[n:16][n:17][c:18]2[CH2:19][N:20]=[C:21]3[c:22]2[cH:23][cH:24][cH:25][cH:26][c:27]2[Cl:28])[cH:29][cH:30]1
Br[c:1]1[cH:2][cH:3][c:4]([S:5](=[O:6])(=[O:7])[NH:8][CH2:9][CH2:10][OH:11])[cH:12][cH:13]1.I[c:14]1[cH:15][c:16]2[n:17][c:18]([CH2:19][CH2:20][c:21]3[n:22][cH:23][cH:24][c:25]([O:26][CH3:27])[cH:28]3)[nH:29][c:30]2[n:31][cH:32]1,[c:1]1(-[c:14]2[cH:15][c:16]3[n:17][c:18]([CH2:19][CH2:20][c:21]4[n:22][cH:23][cH:24][c:25]([O:26][CH3:27])[cH:28]4)[nH:29][c:30]3[n:31][cH:32]2)[cH:2][cH:3][c:4]([S:5](=[O:6])(=[O:7])[NH:8][CH2:9][CH2:10][OH:11])[cH:12][cH:13]1
Cl[CH2:1][CH2:2][CH2:3][n:4]1[c:5]([CH2:6][CH2:7][CH2:8][CH3:9])[n:10][c:11]2[c:12]([NH2:13])[n:14][c:15]3[cH:16][cH:17][cH:18][cH:19][c:20]3[c:21]12.[SH:22][c:23]1[cH:24][cH:25][cH:26][cH:27][cH:28]1,[CH2:1]([CH2:2][CH2:3][n:4]1[c:5]([CH2:6][CH2:7][CH2:8][CH3:9])[n:10][c:11]2[c:12]([NH2:13])[n:14][c:15]3[cH:16][cH:17][cH:18][cH:19][c:20]3[c:21]12)[S:22][c:23]1[cH:24][cH:25][cH:26][cH:27][cH:28]1
O[C:1](=[O:2])[CH2:3][CH2:4][N:5]1[CH2:6][CH2:7][CH:8]([O:9][CH2:10][c:11]2[cH:12][cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19][cH:20]2)[CH2:21][CH2:22]1.[O:23]=[N+:24]([O-:25])[c:26]1[cH:27][cH:28][c:29]([NH:30][CH:31]2[CH2:32][CH2:33][NH:34][CH2:35][CH2:36]2)[cH:37][c:38]1[C:39]([F:40])([F:41])[F:42],[C:1](=[O:2])([CH2:3][CH2:4][N:5]1[CH2:6][CH2:7][CH:8]([O:9][CH2:10][c:11]2[cH:12][cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19][cH:20]2)[CH2:21][CH2:22]1)[N:34]1[CH2:33][CH2:32][CH:31]([NH:30][c:29]2[cH:28][cH:27][c:26]([N+:24](=[O:23])[O-:25])[c:38]([C:39]([F:40])([F:41])[F:42])[cH:37]2)[CH2:36][CH2:35]1
CS(=O)(=O)O[CH2:1][CH2:2][n:3]1[cH:4][cH:5][c:6]2[c:7]1[n:8][c:9]([NH2:10])[n:11]1[n:12][c:13](-[c:14]3[cH:15][cH:16][cH:17][o:18]3)[n:19][c:20]21.[O:21]=[C:22]([c:23]1[cH:24][cH:25][c:26]([F:27])[cH:28][c:29]1[F:30])[N:31]1[CH2:32][CH2:33][NH:34][CH2:35][CH2:36]1,[CH2:1]([CH2:2][n:3]1[cH:4][cH:5][c:6]2[c:7]1[n:8][c:9]([NH2:10])[n:11]1[n:12][c:13](-[c:14]3[cH:15][cH:16][cH:17][o:18]3)[n:19][c:20]21)[N:34]1[CH2:33][CH2:32][N:31]([C:22](=[O:21])[c:23]2[cH:24][cH:25][c:26]([F:27])[cH:28][c:29]2[F:30])[CH2:36][CH2:35]1
